VM3149:14 R1: 02e7, R2: ba98, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0000,  ha: 1
VM3149:14 R1: 1000, R2: 1006, R3: 1025, R4: 0074, R5: 0039, R6: 0000, R7: 0016, R8: 0024,  ha: 0
VM3149:14 R1: 1000, R2: 1007, R3: 1025, R4: 0074, R5: 0039, R6: 0000, R7: 0016, R8: 0025,  ha: 0
VM3149:14 R1: 1000, R2: 1007, R3: 1025, R4: 0074, R5: 0039, R6: 0000, R7: 0016, R8: 001a,  ha: 0
VM3149:14 R1: 1000, R2: 1007, R3: 1025, R4: 0074, R5: 0039, R6: 0000, R7: 0016, R8: 001b,  ha: 0
VM3149:14 R1: 1000, R2: 1007, R3: 1025, R4: 0068, R5: 0039, R6: 0000, R7: 0016, R8: 001c,  ha: 0, lf: 1, la: 1007, ld: 0068
VM3149:14 R1: 1000, R2: 1007, R3: 1025, R4: 0068, R5: 0000, R6: 0000, R7: 0016, R8: 001d,  ha: 0
VM3149:14 R1: 1000, R2: 1007, R3: 1025, R4: 0068, R5: 0030, R6: 0000, R7: 0016, R8: 001e,  ha: 0
VM3149:14 R1: 1000, R2: 1007, R3: 1025, R4: 0068, R5: 0030, R6: 0001, R7: 0016, R8: 001f,  ha: 0
VM3149:14 R1: 1000, R2: 1007, R3: 1025, R4: 0068, R5: 0030, R6: 0001, R7: 0016, R8: 0020,  ha: 0
VM3149:14 R1: 1000, R2: 1007, R3: 1025, R4: 0068, R5: 0039, R6: 0001, R7: 0016, R8: 0021,  ha: 0
VM3149:14 R1: 1000, R2: 1007, R3: 1025, R4: 0068, R5: 0039, R6: 0000, R7: 0016, R8: 0022,  ha: 0
VM3149:14 R1: 1000, R2: 1007, R3: 1025, R4: 0068, R5: 0039, R6: 0000, R7: 0016, R8: 0024,  ha: 0
VM3149:14 R1: 1000, R2: 1008, R3: 1025, R4: 0068, R5: 0039, R6: 0000, R7: 0016, R8: 0025,  ha: 0
VM3149:14 R1: 1000, R2: 1008, R3: 1025, R4: 0068, R5: 0039, R6: 0000, R7: 0016, R8: 001a,  ha: 0
VM3149:14 R1: 1000, R2: 1008, R3: 1025, R4: 0068, R5: 0039, R6: 0000, R7: 0016, R8: 001b,  ha: 0
VM3149:14 R1: 1000, R2: 1008, R3: 1025, R4: 0031, R5: 0039, R6: 0000, R7: 0016, R8: 001c,  ha: 0, lf: 1, la: 1008, ld: 0031
VM3149:14 R1: 1000, R2: 1008, R3: 1025, R4: 0031, R5: 0000, R6: 0000, R7: 0016, R8: 001d,  ha: 0
VM3149:14 R1: 1000, R2: 1008, R3: 1025, R4: 0031, R5: 0030, R6: 0000, R7: 0016, R8: 001e,  ha: 0
VM3149:14 R1: 1000, R2: 1008, R3: 1025, R4: 0031, R5: 0030, R6: 0001, R7: 0016, R8: 001f,  ha: 0
